date,open,high,low,close,volume,tradecount
10/02/2021,46420.42,47310,43727,44807.58,4431650130,2891592
9/02/2021,46374.86,48142.19,44961.09,46420.42,5386255398,3119034
8/02/2021,38795.69,46794.45,37988.89,46374.87,5881536977,3230961
7/02/2021,39181.01,39700,37351,38795.69,3256521384,1976357
6/02/2021,38289.32,40955.51,38215.94,39186.94,3922095149,2291646
5/02/2021,36936.65,38310.12,36570,38290.24,2509278292,1853253
4/02/2021,37620.26,38708.27,36161.95,36936.66,3452669022,2211866
3/02/2021,35472.71,37662.63,35362.38,37618.87,2951232788,1881740
2/02/2021,33517.09,35984.33,33418,35466.24,2716321896,1789672
1/02/2021,33092.97,34717.27,32296.16,33526.37,2791776658,1810492
31/01/2021,34262.89,34342.69,32171.67,33092.98,2289641046,1707064
30/01/2021,34246.28,34933,32825,34262.88,2884500063,2201040
29/01/2021,33368.18,38531.9,31915.4,34252.2,8195593336,4403349
28/01/2021,30362.19,33783.98,29842.1,33364.86,2953553214,2060660
27/01/2021,32464.01,32557.29,29241.72,30366.15,2958081422,2065953
26/01/2021,32254.19,32921.88,30837.37,32467.77,2708545364,2010392
25/01/2021,32259.45,34875,31910,32254.2,2958759289,2106548
24/01/2021,32078,33071,30900,32259.9,1864609665,1528287
23/01/2021,32950,33456,31390.16,32078,2089098296,1700056
22/01/2021,30851.99,33826.53,28850,32945.17,4483295872,2707810
21/01/2021,35468.23,35600,30071,30850.13,4281220574,2820752
20/01/2021,35901.94,36415.31,33400,35468.23,3126721094,2234539
19/01/2021,36622.46,37850,35844.06,35891.49,2935348499,1939371
18/01/2021,35824.99,37469.83,34800,36631.27,2554843261,1707766
17/01/2021,35994.98,36852.5,33850,35828.61,2843103040,1860642
16/01/2021,36737.43,37950,35357.8,35994.98,3178840336,2066363
15/01/2021,39145.21,39747.76,34408,36742.22,4371588899,2560801
14/01/2021,37371.38,40100,36701.23,39144.5,3974826638,2297466
13/01/2021,34049.15,37850,32380,37371.38,4322876606,2514289
12/01/2021,35410.37,36628,32531,34051.24,4651302423,2674145
11/01/2021,38150.02,38264.74,30420,35404.47,8426879771,4431451
10/01/2021,40088.22,41350,35111.11,38150.02,4604034730,2628050
9/01/2021,40586.96,41380,38720,40088.22,3054779029,1998156
8/01/2021,39432.48,41950,36500,40582.81,5568443209,2925632
7/01/2021,36769.36,40365,36300,39432.28,5062569943,2814686
6/01/2021,33949.53,36939.21,33288,36769.36,4431954249,2591783
5/01/2021,31989.75,34360,29900,33949.53,3743617145,2526851
4/01/2021,33000.05,33600,28130,31988.71,4429010350,2642408
3/01/2021,32176.45,34778.11,31962.99,33000.05,4057598425,2369698
2/01/2021,29331.7,33300,28946.53,32178.33,4073842164,2245922
1/01/2021,28923.63,29600,28624.57,29331.69,1582526989,1314910
31/12/2020,28875.55,29300,27850,28923.63,2173600125,1552793
30/12/2020,27385,28996,27320,28875.54,2683953237,1916095
29/12/2020,27079.42,27410,25880,27385,1851617220,1605166
28/12/2020,26281.54,27500,26101,27079.41,2151806809,1508204
27/12/2020,26493.4,28422,25700,26281.66,4028928684,2438493
26/12/2020,24712.47,26867.03,24500,26493.39,2496533065,1735574
25/12/2020,23728.99,24789.86,23433.6,24712.47,1919766317,1504426
24/12/2020,23232.39,23794.43,22703.42,23729.2,1602394244,1421257
23/12/2020,23810.79,24100,22600,23232.76,2797688007,2194611
22/12/2020,22719.88,23837.1,22353.4,23810.79,2010758620,1496277
21/12/2020,23455.54,24102.77,21815,22719.71,2035446294,1593949
20/12/2020,23821.6,24295,23060,23455.52,1810862075,1743225
19/12/2020,23107.39,24171.47,22750,23821.61,2018969879,1678611
18/12/2020,22797.15,23285.18,22350,23107.39,1820875361,1613775
17/12/2020,21335.52,23800,21230,22797.16,4196645567,2795084
16/12/2020,19426.43,21560,19278.6,21335.52,2325135959,1659135
15/12/2020,19273.69,19570,19050,19426.43,1196361528,1046423
14/12/2020,19174.99,19349,19000,19273.14,906101687.7,842382
13/12/2020,18808.69,19411,18711.12,19174.99,1083520569,938022
12/12/2020,18036.53,18948.66,18020.7,18808.69,915552835.9,891810
11/12/2020,18254.81,18292.73,17572.33,18036.53,1301081647,1117810
10/12/2020,18541.29,18557.32,17911.12,18254.63,966149529,891151
9/12/2020,18324.11,18639.57,17650,18541.28,1450130664,1302476
8/12/2020,19166.9,19294.84,18200,18324.11,1160658077,1143181
7/12/2020,19358.67,19420.91,18902.88,19166.9,793517668.7,840954
6/12/2020,19147.66,19420,18857,19359.4,709558933.6,820382
5/12/2020,18650.51,19177,18500,19147.66,813445434.1,932124
4/12/2020,19422.34,19527,18565.31,18650.52,1358079975,1286657
3/12/2020,19204.08,19598,18867.2,19421.9,1286548311,1242229
2/12/2020,18764.96,19342,18330,19204.09,1436895345,1566635
1/12/2020,19695.87,19888,18001.12,18764.96,2446070335,2023802
30/11/2020,18185,19863.16,18184.99,19695.87,2205929120,1744149
29/11/2020,17719.84,18360.05,17517,18184.99,996743798.9,1141289
28/11/2020,17139.53,17880.49,16865.56,17719.85,1128061605,1209385
27/11/2020,17149.47,17457.62,16438.08,17139.52,1446670351,1572299
26/11/2020,18718.83,18915.03,16188,17149.47,3127314143,2770483
25/11/2020,19160,19484.21,18500.27,18719.11,1774870796,1785408
